,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,0.00052,,,0.0,449 x 15,8.85,9.5,9.0,0.0,0.02,0 x 400,0.0,-0.00321,0.00195,0.00033,-0.0054,0.0,6.05125,,9.2,0.505
1,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,9e-05,,,0.0,11 x 51,7.8,8.5,10.0,0.0,0.01,0 x 350,0.0,-0.00373,0.00253,0.00052,-0.00531,0.0,5.20529,,8.2,0.45
2,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,-0.00026,,,0.0,1 x 15,6.81,7.5,11.0,0.0,0.02,0 x 300,0.0,-0.00383,0.00345,0.00046,-0.00464,0.0,4.43565,,7.2,0.395
3,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,0.00014,,,0.0,1 x 37,5.8,6.5,12.0,0.0,0.01,0 x 250,0.0,-0.00455,0.00472,-0.00036,-0.00512,0.0,3.72897,,6.2,0.34
4,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,-1e-05,,,0.0,1 x 37,4.86,5.44,13.0,0.0,0.0,0 x 200,0.0,-0.00552,0.00674,-0.00021,-0.00514,0.0,3.07276,,5.2,0.285
5,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,0.00048,,,0.0,11 x 27,3.8,4.45,14.0,0.0,0.01,0 x 64,0.0,-0.00733,0.01025,0.00035,-0.00519,0.0,2.45565,,4.2,0.23
6,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.93931,0.05099,0.00089,-0.06545,0.00024,2.90415,,0.0,68 x 11,3.01,3.49,15.0,0.0,0.01,0 x 64,0.0,-0.0093,0.01678,0.00026,-0.00457,0.0,1.87077,,3.2,0.175
7,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,0.00017,0.00018,,0.0,307 x 32,1.92,2.45,16.0,0.0,0.0,0 x 479,0.01,-0.01358,0.0319,0.00037,-0.00494,0.0,1.30788,5.0,2.2,0.12
8,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,1.0,0.0,0.0,0.0,0.00076,,64.0,1.14,783 x 204,1.02,1.23,17.0,0.0,0.01,0 x 354,0.01,-0.02151,0.08498,0.00036,-0.00468,0.0,0.75369,352.0,1.2,0.065
9,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.91647,1.14041,0.00111,-0.00558,7e-05,0.1663,,0.17,78 x 23,0.17,0.21,18.0,0.02,0.06,86 x 710,0.03,-0.23318,1.18665,0.00201,-0.03519,-0.00049,0.31712,,0.2,0.01
10,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.09288,0.70857,0.00161,-0.01016,0.0002,0.28941,,0.02,0 x 480,0.0,0.01,18.5,0.33,0.41,41 x 93,0.33,-0.7892,0.74502,0.00199,-0.04534,0.0,0.4709,,0.3,0.017
11,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.03082,0.1636,0.00023,-0.0049,-0.00028,0.52145,,0.01,0 x 55,0.0,0.01,19.0,0.82,0.87,17 x 96,0.87,-0.88077,0.27747,0.0013,-0.03564,-0.00073,0.80431,,0.8,0.045
12,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.02188,0.08351,-7e-05,-0.00548,0.00051,0.76814,,0.01,0 x 148,0.0,0.01,19.5,1.25,1.44,1657 x 693,1.37,-0.91657,0.132,0.00097,-0.02502,-0.00012,1.06289,,1.3,0.072
13,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.01702,0.05295,0.00079,-0.00535,0.00035,0.99737,,0.01,0 x 257,0.0,0.01,20.0,1.77,1.93,155 x 233,1.88,-0.90728,0.10205,0.00155,-0.04005,-0.00022,1.49525,,1.8,0.1
14,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.02557,0.05404,0.0006,-0.0099,0.0002,1.35291,,0.02,0 x 61,0.0,0.02,20.5,2.22,2.47,618 x 238,2.29,-0.92309,0.05424,0.00105,-0.02479,-0.0004,1.67702,,2.3,0.127
15,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.01255,0.0284,0.00024,-0.00549,0.0,1.42105,,0.01,0 x 225,0.0,0.01,21.0,2.71,2.95,570 x 204,2.86,-0.92721,0.02615,0.00139,-0.01544,0.0,1.88494,824.0,2.8,0.155
16,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.01124,0.02256,-0.00022,-0.00505,0.0,1.61834,875.0,0.01,0 x 44,0.0,0.01,21.5,3.2,3.46,1051 x 209,3.4,-0.92527,0.01382,0.00124,-0.0108,-3e-05,2.14327,202.0,3.3,0.182
17,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00999,0.01859,-0.00017,-0.00475,0.0,1.80831,,0.01,0 x 24,0.0,0.01,22.0,3.75,3.95,216 x 626,3.85,-0.91286,0.02856,0.00139,-0.03557,-0.00028,2.66993,,3.8,0.21
18,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00919,0.0156,-0.00021,-0.00468,0.0,1.99143,631.0,0.01,0 x 13,0.0,0.01,22.5,4.19,4.49,772 x 529,4.35,-0.9095,0.02285,0.00158,-0.03555,-0.00048,2.96855,49.0,4.3,0.237
19,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00905,0.0135,-9e-05,-0.00519,0.0,2.16811,585.0,0.01,0 x 187,0.0,0.01,23.0,4.7,4.96,820 x 222,4.8,-0.91278,0.00622,0.00085,-0.01021,-0.0002,3.05368,,4.8,0.265
20,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00811,0.01179,0.00029,-0.00529,0.0,2.33913,207.0,0.01,0 x 86,0.0,0.02,23.5,5.05,5.44,1972 x 482,5.35,-1.0,0.0,0.0,0.0,0.0,,133.0,5.3,0.292
21,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00764,0.01041,0.00063,-0.00539,0.0,2.50504,297.0,0.01,0 x 178,0.0,0.01,24.0,5.7,5.95,60 x 61,5.85,-0.9039,0.00419,0.00078,-0.00975,-0.00029,3.6634,199.0,5.8,0.32
22,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00708,0.00937,-0.00027,-0.00504,0.0,2.66669,97.0,0.01,0 x 147,0.0,0.02,24.5,6.0,6.45,718 x 436,5.52,-1.0,0.0,0.0,0.0,0.0,,11.0,6.3,0.347
23,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00663,0.00838,-0.00027,-0.00499,0.0,2.82232,451.0,0.01,0 x 96,0.0,0.01,25.0,6.71,6.95,1049 x 545,6.66,-0.89395,0.00309,0.00124,-0.01014,-0.00064,4.27727,,6.8,0.375
24,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00613,0.0077,0.00057,-0.00471,0.0,2.97439,9.0,0.01,0 x 37,0.0,0.01,25.5,7.0,7.45,304 x 764,6.4,-1.0,0.0,0.0,0.0,0.0,,0.0,7.3,0.402
25,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00616,0.00701,0.00036,-0.00456,0.0,3.12331,235.0,0.01,0 x 55,0.0,0.01,26.0,7.65,7.95,835 x 528,7.85,-1.0,0.0,0.0,0.0,0.0,,116.0,7.8,0.43
26,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00643,0.0065,0.00058,-0.00464,0.0,3.26733,22.0,0.01,0 x 35,0.0,0.01,26.5,8.0,8.6,255 x 1744,0.0,-1.0,0.0,0.0,0.0,0.0,,,8.3,0.457
27,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00582,0.00602,-0.00018,-0.0053,0.0,3.40792,491.0,0.02,0 x 30,0.0,0.01,27.0,8.84,8.95,1 x 882,8.49,-0.8619,0.0114,0.0016,-0.08474,-0.0002,6.01577,22.0,8.8,0.485
28,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00578,0.0056,0.0006,-0.0055,0.0,3.54528,10.0,0.02,0 x 53,0.0,0.01,27.5,9.0,9.5,481 x 35,8.91,-1.0,0.0,0.0,0.0,0.0,,27.0,9.3,0.512
29,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00576,0.00527,-0.00023,-0.00525,0.0,3.68023,197.0,0.01,0 x 30,0.0,0.01,28.0,9.5,9.95,746 x 461,9.35,-1.0,0.0,0.0,0.0,0.0,,38.0,9.8,0.54
30,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00527,0.00498,0.00056,-0.00532,0.0,3.81055,89.0,0.01,0 x 102,0.0,0.01,28.5,10.0,10.69,5 x 21,9.76,-0.85442,0.0038,0.00109,-0.03493,0.0,6.58416,0.0,10.3,0.567
31,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00471,0.00462,3e-05,-0.00478,0.0,3.93945,34.0,0.01,0 x 33,0.0,0.01,29.0,10.3,10.94,2082 x 446,10.46,-1.0,0.0,0.0,0.0,0.0,,88.0,10.8,0.595
32,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00525,0.00437,0.00036,-0.00508,0.0,4.06449,1.0,0.02,0 x 79,0.0,0.01,29.5,10.8,11.6,920 x 86,10.9,-1.0,0.0,0.0,0.0,0.0,,5.0,11.3,0.622
33,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00535,0.00418,-0.00026,-0.00479,0.0,4.18742,169.0,0.01,0 x 53,0.0,0.0,30.0,11.69,11.94,726 x 262,11.86,-0.84174,0.00082,0.00112,-0.01041,-4e-05,7.33454,62.0,11.8,0.65
34,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00439,0.00396,0.00047,-0.00484,0.0,4.30729,20.0,0.01,0 x 55,0.0,0.01,30.5,12.04,12.45,1840 x 134,0.0,-1.0,0.0,0.0,0.0,0.0,,,12.3,0.677
35,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00468,0.00378,-0.00016,-0.00497,0.0,4.42516,25.0,0.01,0 x 35,0.0,0.01,31.0,12.55,13.0,1435 x 723,12.75,-1.0,0.0,0.0,0.0,0.0,,22.0,12.8,0.705
36,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00469,0.00358,0.00055,-0.00461,0.0,4.54067,65.0,0.01,0 x 117,0.0,0.01,31.5,12.79,13.45,1341 x 368,11.82,-1.0,0.0,0.0,0.0,0.0,,20.0,13.3,0.732
37,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.004,0.00351,8e-05,-0.00497,0.0,4.65458,259.0,0.01,0 x 102,0.0,0.01,32.0,13.71,13.95,885 x 519,13.82,-0.81965,0.00062,0.00161,-0.00958,-0.00056,8.56197,16.0,13.8,0.76
38,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00409,0.00328,0.00042,-0.005,0.0,4.76589,20.0,0.01,0 x 35,0.0,0.01,32.5,13.8,14.6,1362 x 2002,12.85,-1.0,0.0,0.0,0.0,0.0,,0.0,14.3,0.787
39,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00475,0.00321,0.00014,-0.00508,0.0,4.87425,,0.0,0 x 44,0.0,0.02,33.0,14.3,14.95,1838 x 220,14.45,-1.0,0.0,0.0,0.0,0.0,,15.0,14.8,0.815
40,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0043,0.00305,0.00055,-0.00452,0.0,4.9817,100.0,0.01,0 x 45,0.0,0.02,33.5,14.7,15.45,1428 x 334,15.0,-1.0,0.0,0.0,0.0,0.0,,15.0,15.3,0.842
41,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0039,0.00294,0.00025,-0.00464,0.0,5.08612,40.0,0.01,0 x 35,0.0,0.01,34.0,15.7,15.94,947 x 500,15.4,-0.79658,0.00039,0.00205,-0.01046,-3e-05,9.78895,6.0,15.8,0.87
42,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00421,0.00287,-0.00011,-0.00498,0.0,5.18968,,0.0,0 x 49,0.0,0.01,34.5,14.6,16.54,667 x 88,0.0,-1.0,0.0,0.0,0.0,0.0,,,16.3,0.897
43,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00434,0.00274,0.00055,-0.00543,0.0,5.2913,57.0,0.01,0 x 72,0.0,0.01,35.0,16.7,16.95,870 x 509,16.8,-0.78496,0.00037,0.00154,-0.0103,-0.0007,10.40283,30.0,16.8,0.925
44,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00395,0.00269,7e-05,-0.00476,0.0,5.39065,,0.0,0 x 160,0.0,0.02,35.5,15.6,17.89,431 x 16,0.0,-1.0,0.0,0.0,0.0,0.0,,,17.3,0.952
45,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00385,0.00262,7e-05,-0.00496,0.0,5.48938,,0.0,0 x 338,0.0,0.01,36.0,17.55,18.1,1118 x 837,17.01,-0.77334,0.0003,0.00205,-0.01018,0.0,11.01631,6.0,17.8,0.98
46,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00353,0.00251,-0.00036,-0.0053,0.0,5.58518,3.0,0.01,0 x 444,0.0,0.01,36.5,16.6,18.54,945 x 203,17.35,-1.0,0.0,0.0,0.0,0.0,,0.0,18.3,1.007
47,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00416,0.00246,0.00011,-0.00548,0.0,5.68011,1.0,0.01,0 x 555,0.0,0.02,37.0,18.1,18.95,1858 x 546,18.79,-1.0,0.0,0.0,0.0,0.0,,8.0,18.8,1.035
48,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.004,0.00235,-0.00034,-0.00464,0.0,5.77367,,0.0,0 x 666,0.0,0.02,37.5,17.6,20.96,57 x 40,0.0,-1.0,0.0,0.0,0.0,0.0,,,19.3,1.062
49,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00342,0.00232,0.00024,-0.00502,0.0,5.86541,0.0,0.02,0 x 777,0.0,0.01,38.0,19.55,20.3,986 x 2959,19.73,-0.73954,0.00244,0.00233,-0.10998,-0.00065,12.75334,16.0,19.8,1.09
50,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00389,0.00221,0.0002,-0.00517,0.0,5.95632,,0.0,0 x 888,0.0,0.0,38.5,18.61,21.14,243 x 48,0.0,-1.0,0.0,0.0,0.0,0.0,,,20.3,1.117
51,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00337,0.00222,0.0,-0.00479,0.0,6.045,4.0,0.01,0 x 966,0.0,0.01,39.0,20.19,21.06,1410 x 105,20.57,-1.0,0.0,0.0,0.0,0.0,,2.0,20.8,1.145
52,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00392,0.00209,0.00016,-0.00462,0.0,6.13288,,0.0,0 x 1011,0.0,0.01,39.5,19.6,21.55,942 x 225,0.0,-1.0,0.0,0.0,0.0,0.0,,,21.3,1.172
53,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00379,0.00204,0.00027,-0.00523,0.0,6.21898,0.0,0.01,0 x 1061,0.0,0.01,40.0,21.39,22.01,1384 x 51,21.5,-1.0,0.0,0.0,0.0,0.0,,71.0,21.8,1.2
54,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00359,0.002,-0.00037,-0.00548,0.0,6.305,,0.0,0 x 1116,0.0,0.0,40.5,20.59,22.85,518 x 29,0.0,-1.0,0.0,0.0,0.0,0.0,,,22.3,1.227
55,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00329,0.00198,-8e-05,-0.00491,0.0,6.38801,,0.0,0 x 1161,0.0,0.02,41.0,21.1,23.45,852 x 32,21.69,-1.0,0.0,0.0,0.0,0.0,,0.0,22.8,1.255
56,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00331,0.00195,0.00051,-0.00495,0.0,6.47087,,0.0,0 x 1211,0.0,0.0,41.5,21.6,23.65,334 x 211,0.0,-1.0,0.0,0.0,0.0,0.0,,,23.3,1.282
57,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0031,0.00185,0.00024,-0.00473,0.0,6.55304,,0.0,0 x 1261,0.0,0.01,42.0,23.41,24.09,962 x 152,22.97,-1.0,0.0,0.0,0.0,0.0,,10.0,23.8,1.31
58,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00291,0.00183,-0.0004,-0.00544,0.0,6.63344,,0.0,0 x 1311,0.0,0.01,42.5,22.59,24.75,570 x 488,22.94,-1.0,0.0,0.0,0.0,0.0,,0.0,24.3,1.337
59,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00327,0.00185,8e-05,-0.00477,0.0,6.71323,,0.0,0 x 1361,0.0,0.01,43.0,23.1,25.4,616 x 22,23.75,-1.0,0.0,0.0,0.0,0.0,,6.0,24.8,1.365
60,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00299,0.00177,0.00047,-0.00533,0.0,6.79144,,0.0,0 x 1411,0.0,0.01,43.5,23.6,25.74,622 x 267,0.0,-1.0,0.0,0.0,0.0,0.0,,,25.3,1.392
61,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00359,0.00171,4e-05,-0.00501,0.0,6.86879,,0.0,0 x 1461,0.0,0.01,44.0,24.1,26.26,573 x 688,0.0,-1.0,0.0,0.0,0.0,0.0,,,25.8,1.42
62,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00336,0.0017,-0.00023,-0.00535,0.0,6.94417,,0.0,0 x 1516,0.0,0.01,44.5,24.6,26.7,620 x 335,0.0,-1.0,0.0,0.0,0.0,0.0,,,26.3,1.447
63,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00344,0.00171,-0.00035,-0.00509,0.0,7.01959,,0.0,0 x 1511,0.0,0.0,45.0,26.7,26.95,1211 x 863,26.72,-0.66787,0.00011,0.00178,-0.00956,-0.00031,16.54696,200.0,26.8,1.475
64,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00324,0.00163,9e-05,-0.005,0.0,7.09403,,0.0,0 x 1511,0.0,0.01,45.5,25.6,27.71,31 x 500,0.0,-1.0,0.0,0.0,0.0,0.0,,,27.3,1.502
65,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00288,0.00165,-0.00017,-0.00504,0.0,7.16718,,0.0,0 x 1516,0.0,0.01,46.0,26.09,28.09,951 x 226,26.2,-1.0,0.0,0.0,0.0,0.0,,0.0,27.8,1.53
66,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00345,0.0016,0.00031,-0.00492,0.0,7.24042,,0.0,0 x 1516,0.0,0.0,46.5,26.6,30.05,31 x 30,0.0,-0.65046,0.00013,0.00194,-0.01035,-0.00054,17.46952,,28.3,1.557
67,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0032,0.00155,-0.00031,-0.00465,0.0,7.31187,,0.0,0 x 1511,0.0,0.01,47.0,27.1,29.1,951 x 226,0.0,-1.0,0.0,0.0,0.0,0.0,,,28.8,1.585
68,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00324,0.00158,0.0005,-0.00543,0.0,7.38191,,0.0,0 x 1511,0.0,0.01,47.5,27.61,29.69,31 x 500,0.0,-1.0,0.0,0.0,0.0,0.0,,,29.3,1.612
69,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0026,0.00155,0.00026,-0.00539,0.0,7.4526,,0.0,0 x 1511,0.0,0.0,48.0,28.1,30.76,572 x 940,0.0,-1.0,0.0,0.0,0.0,0.0,,,29.8,1.64
70,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00318,0.00144,0.00015,-0.00466,0.0,7.52138,,0.0,0 x 1511,0.0,0.01,48.5,28.6,30.74,433 x 388,0.0,-1.0,0.0,0.0,0.0,0.0,,,30.3,1.667
71,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00311,0.0015,0.0,-0.00454,0.0,7.58922,,0.0,0 x 1511,0.0,0.02,49.0,29.09,32.45,21 x 60,0.0,-1.0,0.0,0.0,0.0,0.0,,,30.8,1.695
72,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00263,0.00139,-0.00027,-0.00539,0.0,7.65631,,0.0,0 x 1511,0.0,0.01,49.5,29.6,31.8,211 x 100,0.0,-1.0,0.0,0.0,0.0,0.0,,,31.3,1.722
73,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0027,0.00137,0.00019,-0.00471,0.0,7.72368,15.0,0.01,0 x 1511,0.0,0.01,50.0,31.66,32.06,455 x 466,31.75,-0.60825,0.00026,0.00242,-0.03548,-0.00011,19.72979,28.0,31.8,1.75
74,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00313,0.00137,0.00018,-0.00485,0.0,7.78891,,0.0,0 x 1511,0.0,0.02,50.5,30.61,32.7,31 x 500,0.0,-1.0,0.0,0.0,0.0,0.0,,,32.3,1.777
75,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0026,0.00133,0.00012,-0.0055,0.0,7.8541,,0.0,0 x 1511,0.0,0.0,51.0,31.1,33.3,604 x 211,31.75,-1.0,0.0,0.0,0.0,0.0,,1.0,32.8,1.805
76,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00288,0.00136,-0.00036,-0.0049,0.0,7.91877,,0.0,0 x 1511,0.0,0.01,51.5,31.6,34.8,31 x 21,0.0,-1.0,0.0,0.0,0.0,0.0,,,33.3,1.832
77,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00251,0.00132,0.00031,-0.00539,0.0,7.98212,,0.0,0 x 1511,0.0,0.01,52.0,32.1,35.51,21 x 85,0.0,-1.0,0.0,0.0,0.0,0.0,,,33.8,1.859
78,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00324,0.00131,-0.00016,-0.00516,0.0,8.04492,,0.0,0 x 1511,0.0,0.02,52.5,32.61,35.41,31 x 21,0.0,-1.0,0.0,0.0,0.0,0.0,,,34.3,1.887
79,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00327,0.00128,0.00049,-0.00499,0.0,8.10785,,0.0,0 x 1511,0.0,0.01,53.0,33.1,36.46,964 x 724,0.0,-1.0,0.0,0.0,0.0,0.0,,,34.8,1.914
80,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00261,0.00129,-0.00025,-0.00535,0.0,8.1697,,0.0,0 x 1511,0.0,0.0,53.5,33.61,35.65,666 x 267,0.0,-1.0,0.0,0.0,0.0,0.0,,,35.3,1.942
81,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00288,0.00127,-0.00025,-0.00509,0.0,8.22994,,0.0,0 x 1511,0.0,0.0,54.0,34.1,36.91,31 x 30,0.0,-1.0,0.0,0.0,0.0,0.0,,,35.8,1.969
82,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00257,0.00127,-0.00015,-0.00526,0.0,8.29061,,0.0,0 x 1511,0.0,0.01,54.5,34.61,37.74,31 x 30,0.0,-1.0,0.0,0.0,0.0,0.0,,,36.3,1.997
83,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00292,0.00122,6e-05,-0.00491,0.0,8.35065,,0.0,0 x 1511,0.0,0.02,55.0,35.1,37.1,632 x 226,0.0,-1.0,0.0,0.0,0.0,0.0,,,36.8,2.024
84,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00224,0.00122,-0.00037,-0.0051,0.0,8.40912,,0.0,0 x 1511,0.0,0.01,55.5,35.6,38.36,31 x 30,0.0,-1.0,0.0,0.0,0.0,0.0,,,37.3,2.052
85,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.0024,0.00118,-0.00011,-0.00475,0.0,8.46824,,0.0,0 x 1511,0.0,0.01,56.0,36.1,39.6,21 x 85,0.0,-0.5417,0.00014,0.00207,-0.03541,-0.00067,23.41629,,37.8,2.079
86,1459540800,2016-04-01 16:00,2016-04-01,16.0,18.18,2016-04-01,1459540800,0,0.00221,0.0012,0.00038,-0.00468,0.0,8.52554,,0.0,0 x 1516,0.0,0.01,56.5,36.6,39.8,31 x 21,0.0,-1.0,0.0,0.0,0.0,0.0,,,38.3,2.107
